Commodity,Date,Unit,Minimum,Maximum,Average
Orange(Indian),4/19/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Water Melon(Green),4/19/2024,KG,Rs 45.00,Rs 50.00,Rs 48.33
Sweet Orange,4/19/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,4/19/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Pineapple,4/19/2024,1 Pc,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),4/19/2024,KG,Rs 70.00,Rs 90.00,Rs 78.00
Cucumber(Hybrid),4/19/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Jack Fruit,4/19/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Papaya(Nepali),4/19/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Papaya(Indian),4/19/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Strawberry,4/19/2024,KG,Rs 300.00,Rs 350.00,Rs 333.33
Kiwi,4/19/2024,KG,Rs 450.00,Rs 500.00,Rs 475.00
Avocado,4/19/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Amla,4/19/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Ginger,4/19/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Chilli Dry,4/19/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,4/19/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Bullet),4/19/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Machhe),4/19/2024,KG,Rs 90.00,Rs 100.00,Rs 93.33
Chilli Green(Akbare),4/19/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,4/19/2024,KG,Rs 130.00,Rs 150.00,Rs 142.00
Garlic Green,4/19/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Coriander Green,4/19/2024,KG,Rs 50.00,Rs 70.00,Rs 58.00
Garlic Dry Chinese,4/19/2024,KG,Rs 270.00,Rs 280.00,Rs 276.00
Garlic Dry Nepali,4/19/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Clive Dry,4/19/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,4/19/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),4/19/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Fish Fresh(Bachuwa),4/19/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),4/19/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Fish Fresh(Mungari),4/19/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Tomato Big(Nepali),4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),4/18/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Tomato Small(Tunnel),4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Indian),4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Tomato Small(Terai),4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Potato Red,4/18/2024,KG,Rs 48.00,Rs 52.00,Rs 50.00
Potato Red(Indian),4/18/2024,KG,Rs 48.00,Rs 50.00,Rs 49.00
Potato White,4/18/2024,KG,Rs 38.00,Rs 40.00,Rs 39.00
Onion Dry (Indian),4/18/2024,KG,Rs 65.00,Rs 70.00,Rs 67.00
Carrot(Local),4/18/2024,KG,Rs 35.00,Rs 40.00,Rs 37.50
Carrot(Terai),4/18/2024,KG,Rs 30.00,Rs 35.00,Rs 32.50
Cabbage(Local),4/18/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,4/18/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Cauli Local(Jyapu),4/18/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Raddish White(Local),4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),4/18/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,4/18/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),4/18/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Green Peas,4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
French Bean(Local),4/18/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Hybrid),4/18/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Rajma),4/18/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Sword Bean,4/18/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Bitter Gourd,4/18/2024,KG,Rs 80.00,Rs 100.00,Rs 88.00
Bottle Gourd,4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 36.00
Pointed Gourd(Terai),4/18/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Snake Gourd,4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Smooth Gourd,4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Pumpkin,4/18/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Okara,4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 84.00
Sweet Potato,4/18/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Barela,4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Arum,4/18/2024,KG,Rs 110.00,Rs 120.00,Rs 115.00
Christophine,4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Brd Leaf Mustard,4/18/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Spinach Leaf,4/18/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Cress Leaf,4/18/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mustard Leaf,4/18/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Fenugreek Leaf,4/18/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Onion Green,4/18/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Bakula,4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Yam,4/18/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mushroom(Kanya),4/18/2024,KG,Rs 130.00,Rs 160.00,Rs 145.00
Mushroom(Button),4/18/2024,KG,Rs 300.00,Rs 350.00,Rs 330.00
Asparagus,4/18/2024,KG,Rs 300.00,Rs 350.00,Rs 333.33
Neuro,4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Brocauli,4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 85.00
Sugarbeet,4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Drumstick,4/18/2024,KG,Rs 80.00,Rs 100.00,Rs 90.00
Bauhania flower,4/18/2024,KG,Rs 200.00,Rs 250.00,Rs 233.33
Red Cabbbage,4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Lettuce,4/18/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Knolkhol,4/18/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Celery,4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Parseley,4/18/2024,KG,Rs 150.00,Rs 160.00,Rs 155.00
Fennel Leaf,4/18/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Mint,4/18/2024,KG,Rs 120.00,Rs 150.00,Rs 135.00
Turnip A,4/18/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,4/18/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,4/18/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,4/18/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,4/18/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),4/18/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Apple(Fuji),4/18/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,4/18/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,4/18/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Pomegranate,4/18/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),4/18/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Orange(Indian),4/18/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Water Melon(Green),4/18/2024,KG,Rs 45.00,Rs 50.00,Rs 48.33
Sweet Orange,4/18/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,4/18/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,4/18/2024,1 Pc,Rs 150.00,Rs 160.00,Rs 155.00
Cucumber(Local),4/18/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Cucumber(Hybrid),4/18/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Jack Fruit,4/18/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pear(Chinese),4/18/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),4/18/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Papaya(Indian),4/18/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Guava,4/18/2024,KG,Rs 200.00,Rs 220.00,Rs 210.00
Kinnow,4/18/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Strawberry,4/18/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Kiwi,4/18/2024,KG,Rs 450.00,Rs 500.00,Rs 475.00
Avocado,4/18/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Amla,4/18/2024,KG,Rs 100.00,Rs 110.00,Rs 105.00
Ginger,4/18/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Chilli Dry,4/18/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,4/18/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Chilli Green(Bullet),4/18/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Chilli Green(Machhe),4/18/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Akbare),4/18/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,4/18/2024,KG,Rs 130.00,Rs 140.00,Rs 135.00
Garlic Green,4/18/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Coriander Green,4/18/2024,KG,Rs 50.00,Rs 80.00,Rs 65.00
Garlic Dry Chinese,4/18/2024,KG,Rs 270.00,Rs 290.00,Rs 278.00
Garlic Dry Nepali,4/18/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Clive Dry,4/18/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,4/18/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),4/18/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Fish Fresh(Bachuwa),4/18/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),4/18/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Fish Fresh(Mungari),4/18/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Tomato Big(Nepali),4/17/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),4/17/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),4/17/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Tomato Small(Tunnel),4/17/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Tomato Small(Indian),4/17/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Tomato Small(Terai),4/17/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Potato Red,4/17/2024,KG,Rs 45.00,Rs 50.00,Rs 47.60
Potato Red(Indian),4/17/2024,KG,Rs 45.00,Rs 50.00,Rs 47.50
Onion Dry (Indian),4/17/2024,KG,Rs 65.00,Rs 70.00,Rs 67.00
Carrot(Local),4/17/2024,KG,Rs 35.00,Rs 40.00,Rs 38.33
Carrot(Terai),4/17/2024,KG,Rs 30.00,Rs 35.00,Rs 33.33
Cabbage(Local),4/17/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,4/17/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local(Jyapu),4/17/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Raddish White(Hybrid),4/17/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Brinjal Long,4/17/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,4/17/2024,KG,Rs 35.00,Rs 40.00,Rs 37.50
Cow pea(Long),4/17/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Green Peas,4/17/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
French Bean(Local),4/17/2024,KG,Rs 100.00,Rs 120.00,Rs 108.00
French Bean(Hybrid),4/17/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Rajma),4/17/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Sword Bean,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Bitter Gourd,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bottle Gourd,4/17/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pointed Gourd(Terai),4/17/2024,KG,Rs 110.00,Rs 120.00,Rs 116.67
Snake Gourd,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Smooth Gourd,4/17/2024,KG,Rs 70.00,Rs 90.00,Rs 78.00
Pumpkin,4/17/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),4/17/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),4/17/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Turnip,4/17/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.00
Sweet Potato,4/17/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,4/17/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Christophine,4/17/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Brd Leaf Mustard,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Spinach Leaf,4/17/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Cress Leaf,4/17/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mustard Leaf,4/17/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Fenugreek Leaf,4/17/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Onion Green,4/17/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bakula,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Yam,4/17/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mushroom(Kanya),4/17/2024,KG,Rs 110.00,Rs 130.00,Rs 118.00
Mushroom(Button),4/17/2024,KG,Rs 300.00,Rs 350.00,Rs 330.00
Asparagus,4/17/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Neuro,4/17/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,4/17/2024,KG,Rs 70.00,Rs 80.00,Rs 73.33
Sugarbeet,4/17/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Drumstick,4/17/2024,KG,Rs 100.00,Rs 150.00,Rs 125.00
Bauhania flower,4/17/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Red Cabbbage,4/17/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Lettuce,4/17/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Knolkhol,4/17/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Celery,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Parseley,4/17/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Fennel Leaf,4/17/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mint,4/17/2024,KG,Rs 120.00,Rs 150.00,Rs 140.00
Turnip A,4/17/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,4/17/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,4/17/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,4/17/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),4/17/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Apple(Fuji),4/17/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,4/17/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Lime,4/17/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Pomegranate,4/17/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),4/17/2024,KG,Rs 160.00,Rs 180.00,Rs 170.00
Grapes(Black),4/17/2024,KG,Rs 240.00,Rs 260.00,Rs 250.00
Orange(Indian),4/17/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Water Melon(Green),4/17/2024,KG,Rs 45.00,Rs 50.00,Rs 48.33
Sweet Orange,4/17/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,4/17/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,4/17/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),4/17/2024,KG,Rs 70.00,Rs 90.00,Rs 80.00
Cucumber(Hybrid),4/17/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Jack Fruit,4/17/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Pear(Chinese),4/17/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Papaya(Nepali),4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Papaya(Indian),4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Guava,4/17/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Kinnow,4/17/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Strawberry,4/17/2024,KG,Rs 350.00,Rs 400.00,Rs 375.00
Kiwi,4/17/2024,KG,Rs 450.00,Rs 500.00,Rs 475.00
Avocado,4/17/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Ginger,4/17/2024,KG,Rs 270.00,Rs 280.00,Rs 275.00
Chilli Dry,4/17/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Chilli Green(Bullet),4/17/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Machhe),4/17/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Chilli Green(Akbare),4/17/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Capsicum,4/17/2024,KG,Rs 120.00,Rs 140.00,Rs 130.00
Garlic Green,4/17/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Coriander Green,4/17/2024,KG,Rs 50.00,Rs 80.00,Rs 62.50
Garlic Dry Chinese,4/17/2024,KG,Rs 270.00,Rs 280.00,Rs 275.00
Garlic Dry Nepali,4/17/2024,KG,Rs 150.00,Rs 160.00,Rs 156.67
Clive Dry,4/17/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Clive Green,4/17/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fish Fresh(Rahu),4/17/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Fish Fresh(Bachuwa),4/17/2024,KG,Rs 250.00,Rs 260.00,Rs 255.00
Fish Fresh(Chhadi),4/17/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Fish Fresh(Mungari),4/17/2024,KG,Rs 330.00,Rs 350.00,Rs 340.00
Tomato Big(Nepali),4/16/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Big(Indian),4/16/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Local),4/16/2024,KG,Rs 25.00,Rs 35.00,Rs 30.00
Tomato Small(Tunnel),4/16/2024,KG,Rs 45.00,Rs 55.00,Rs 50.00
Tomato Small(Indian),4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Tomato Small(Terai),4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Potato Red,4/16/2024,KG,Rs 45.00,Rs 50.00,Rs 47.50
Potato Red(Indian),4/16/2024,KG,Rs 40.00,Rs 45.00,Rs 42.50
Onion Dry (Indian),4/16/2024,KG,Rs 64.00,Rs 68.00,Rs 65.20
Carrot(Local),4/16/2024,KG,Rs 35.00,Rs 40.00,Rs 37.50
Carrot(Terai),4/16/2024,KG,Rs 30.00,Rs 35.00,Rs 32.50
Cabbage(Local),4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local,4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cauli Local(Jyapu),4/16/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Raddish White(Hybrid),4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brinjal Long,4/16/2024,KG,Rs 20.00,Rs 30.00,Rs 25.00
Brinjal Round,4/16/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Cow pea(Long),4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Green Peas,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Local),4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Hybrid),4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
French Bean(Rajma),4/16/2024,KG,Rs 120.00,Rs 130.00,Rs 126.67
Sword Bean,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Bitter Gourd,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bottle Gourd,4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Pointed Gourd(Terai),4/16/2024,KG,Rs 100.00,Rs 110.00,Rs 106.67
Snake Gourd,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Smooth Gourd,4/16/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Pumpkin,4/16/2024,KG,Rs 35.00,Rs 45.00,Rs 40.00
Squash(Long),4/16/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,4/16/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Okara,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Sweet Potato,4/16/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Barela,4/16/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Christophine,4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Brd Leaf Mustard,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Spinach Leaf,4/16/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Cress Leaf,4/16/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Mustard Leaf,4/16/2024,KG,Rs 30.00,Rs 40.00,Rs 35.00
Fenugreek Leaf,4/16/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Onion Green,4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bakula,4/16/2024,KG,Rs 80.00,Rs 90.00,Rs 86.67
Yam,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Mushroom(Kanya),4/16/2024,KG,Rs 100.00,Rs 120.00,Rs 110.00
Mushroom(Button),4/16/2024,KG,Rs 280.00,Rs 320.00,Rs 300.00
Asparagus,4/16/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Neuro,4/16/2024,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brocauli,4/16/2024,KG,Rs 50.00,Rs 60.00,Rs 56.67
Sugarbeet,4/16/2024,KG,Rs 60.00,Rs 70.00,Rs 66.67
Drumstick,4/16/2024,KG,Rs 100.00,Rs 150.00,Rs 125.00
Bauhania flower,4/16/2024,KG,Rs 200.00,Rs 250.00,Rs 225.00
Red Cabbbage,4/16/2024,KG,Rs 50.00,Rs 60.00,Rs 55.00
Lettuce,4/16/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Knolkhol,4/16/2024,KG,Rs 60.00,Rs 70.00,Rs 65.00
Celery,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Parseley,4/16/2024,KG,Rs 150.00,Rs 200.00,Rs 175.00
Fennel Leaf,4/16/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mint,4/16/2024,KG,Rs 100.00,Rs 150.00,Rs 125.00
Turnip A,4/16/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Tamarind,4/16/2024,KG,Rs 140.00,Rs 150.00,Rs 146.67
Bamboo Shoot,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Tofu,4/16/2024,KG,Rs 150.00,Rs 170.00,Rs 160.00
Gundruk,4/16/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Apple(Jholey),4/16/2024,KG,Rs 200.00,Rs 220.00,Rs 210.00
Apple(Fuji),4/16/2024,KG,Rs 300.00,Rs 350.00,Rs 325.00
Banana,4/16/2024,Per Dozen,Rs 130.00,Rs 140.00,Rs 135.00
Pomegranate,4/16/2024,KG,Rs 250.00,Rs 300.00,Rs 275.00
Grapes(Green),4/16/2024,KG,Rs 150.00,Rs 180.00,Rs 165.00
Grapes(Black),4/16/2024,KG,Rs 220.00,Rs 250.00,Rs 235.00
Orange(Indian),4/16/2024,KG,Rs 180.00,Rs 200.00,Rs 190.00
Water Melon(Green),4/16/2024,KG,Rs 45.00,Rs 50.00,Rs 48.33
Sweet Orange,4/16/2024,KG,Rs 140.00,Rs 150.00,Rs 145.00
Mandarin,4/16/2024,KG,Rs 250.00,Rs 280.00,Rs 265.00
Pineapple,4/16/2024,1 Pc,Rs 150.00,Rs 180.00,Rs 165.00
Cucumber(Local),4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.00
Cucumber(Hybrid),4/16/2024,KG,Rs 40.00,Rs 50.00,Rs 46.67
Jack Fruit,4/16/2024,KG,Rs 70.00,Rs 80.00,Rs 76.67
Pear(Chinese),4/16/2024,KG,Rs 200.00,Rs 220.00,Rs 210.00
Papaya(Nepali),4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
Papaya(Indian),4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 95.00
Guava,4/16/2024,KG,Rs 200.00,Rs 220.00,Rs 210.00
Kinnow,4/16/2024,KG,Rs 120.00,Rs 130.00,Rs 125.00
Kiwi,4/16/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Avocado,4/16/2024,KG,Rs 550.00,Rs 600.00,Rs 575.00
Amla,4/16/2024,KG,Rs 100.00,Rs 110.00,Rs 105.00
Ginger,4/16/2024,KG,Rs 260.00,Rs 280.00,Rs 270.00
Chilli Dry,4/16/2024,KG,Rs 400.00,Rs 450.00,Rs 425.00
Chilli Green,4/16/2024,KG,Rs 90.00,Rs 100.00,Rs 96.67
